no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
81,Us Trường Tiểu học Đại Mỗ 3,"Trường Tiểu học Đại Mỗ 3, Đường Quang Tiến, Phường Tây Mỗ",05:00 - 22:30,,Quận Nam Từ Liêm,Hà Nội,,,ChIJy2-5EwBTNDERN26WZ2Ek_AU
82,Gia Lâm,"Nhà thi đấu Gia Lâm, 437 đường Nguyễn Đức Thuận",05:30 - 22:00,,,Hà Nội,,,ChIJ021GV22pNTER1WpzuuNY8IQ
83,Army Pickleball Club,"Ngõ 141 Hồ Đắc Di, Nam Đồng, Đống Đa, Hà Nội",05:00 - 22:00,,Quận Đống Đa,Hà Nội,,,ChIJvWWrdgCrNTERScHg20kBd2M
84,Lê Quang Đạo - Phú Đô,"42 ngách 26 ngõ 56 Lê Quang Đạo, Phú Đô",05:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,
85,Us C1 Tây Mỗ 3,"Đối diện Tòa S106, Vinhomes Smart City, Nam Từ Liêm, Hà Nội",06:00 - 22:45,,Quận Nam Từ Liêm,Hà Nội,,,
86,Us C2 Phú Đô,"Ngõ 54 Đ. Lê Quang Đạo, Mễ Trì, Phường Từ Liêm, Hà Nội",05:00 - 22:00,,Quận Nam Từ Liêm,Hà Nội,,,
87,VỢT Badminton,"Số 9X, ngõ 331 đường Bát Khối, phường Long Biên, TP Hà Nội",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJ9_KZQ1KpNTEREtn-uFkPmbw
88,CTA Phú Đô - Cụm 6 sân,"96 Đường K2 Tổ 2 P. Phú Đô, làng Phú Đô, Từ Liêm, Hà Nội",05:30 - 24:00,6,,Hà Nội,,Phường Từ Liêm,ChIJuc_uOwBTNDERK4npZvNrXOY
89,CTA Phú Đô - Cụm 4 sân,"209 Tổ 2 P. Phú Đô, làng Phú Đô, Từ Liêm, Hà Nội, Việt Nam",05:30 - 24:00,4,,Hà Nội,,Phường Từ Liêm,ChIJH-cQbgBTNDERM_IgbIahTYk
90,Phúc Long Badminton & Pickleball 460 Trần Quý Cáp,"P. Trần Quý Cáp, Văn Miếu - Quốc Tử Giám, Hà Nội",05:00 - 24:00,,Quận Đống Đa,Hà Nội,,,ChIJG5lrsBqrNTERnYMIW2mfROc
